754,214
125,859
381,350
328,242
854,204
792,858
658,189
704,532
132,130
195,323
338,617
716,127
674,303
833,765
818,658
529,325
559,703
384,928
990,106
877,925
263,814
532,448
384,259
320,881
444,204
194,489
199,467
967,452
718,370
926,144
847,570
649,227
487,180
665,400
949,743
733,982
470,691
296,821
171,146
777,333
891,396
181,975
338,987
203,489
384,564
750,954
473,266
479,463
314,786
373,818
799,763
173,723
750,275
646,846
350,267
573,488
376,755
804,670
324,801
432,963
886,894
157,334
941,132
924,423
510,374
167,316
680,997
835,422
317,771
611,505
758,569
246,371
242,352
862,674
651,369
864,698
538,697
508,470
324,241
621,605
193,873
148,981
212,256
742,263
911,796
532,710
165,494
490,710
579,641
357,666
981,111
796,838
217,798
649,868
373,887
756,448
214,400
545,261
564,103
839,996
836,369
612,880
282,619
208,991
740,405
961,754
619,723
303,256
482,880
265,652
897,643
100,713
431,600
119,214
471,999
951,926
414,345
159,346
999,680
180,187
849,597
935,170
878,645
884,228
231,775
586,662
269,371
640,993
721,533
316,652
873,847
806,305
830,419
508,787
765,482
548,629
562,223
353,330
165,446
121,702
667,335
702,325
107,172
824,746
160,334
169,132
980,438
172,626
343,385
785,597
319,652
235,840
684,690
584,348
903,584
926,516
294,196
199,774
541,462
533,520
578,984
846,155
789,769
761,200
162,512
845,447
919,982
211,354
296,294
649,559
243,532
287,385
573,355
995,177
553,927
982,976
663,200
151,767
653,956
115,195
871,969
342,270
516,597
592,318
985,510
160,268
488,102
499,371
902,903
565,392
533,813
848,902
669,777
835,598
258,294
403,322
159,693
853,655
162,865
421,158
151,698
588,614
973,643
261,158
620,182
971,290
170,709
169,791
982,340
513,222
683,352
692,708
140,734
183,529
773,697
678,635
423,367
309,785
833,421
344,371
505,234
787,760
407,568
423,869
174,109
569,736
676,202
175,650
318,618
371,235
457,170
1000,350
478,391
261,548
953,656
820,409
726,926
769,641
108,783
936,667
406,779
206,999
237,370
218,209
860,666
259,378
388,719
315,834
451,308
803,749
973,370
617,600
357,966
152,194
749,533
949,383
145,103
441,889
233,752
368,265
859,552
664,822
537,674
109,214
177,807
252,658
136,954
478,696
665,251
540,230
142,415
473,915
981,140
466,315
798,355
782,205
462,898
673,995
516,735
867,258
342,985
266,919
930,281
522,125
283,854
440,901
521,921
785,984
852,930
354,373
263,906
818,210
491,993
139,979
581,327
304,936
571,458
412,940
914,992
333,328
124,775
297,508
436,385
985,171
891,385
459,756
621,509
795,963
649,439
128,218
998,367
282,694
371,139
211,710
544,453
846,905
421,546
720,623
218,494
690,294
360,145
825,546
101,632
925,651
803,836
859,854
786,301
472,541
171,780
438,738
421,779
968,227
837,407
619,416
782,518
434,512
813,402
667,230
296,530
780,488
793,866
278,730
682,408
515,661
953,100
411,393
315,540
904,693
721,770
429,576
552,552
791,318
623,584
912,915
853,273
774,186
390,627
779,748
734,443
195,938
869,340
